cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack,source
10,Trolls,0,1,2a,3d,2h,1f,2,MP,ICON_UNIT_TROLLS,SPRITE_TROLLS,SOUND_SELECT1_TROLLS,SOUND_MOVE_TROLLS,SOUND_ATTACK_TROLLS,midgard
11,Housecarls,0,1,2a,2d,2h,1f,3,War,ICON_UNIT_HOUSECARLS,SPRITE_HOUSECARLS,SOUND_SELECT1_HOUSECARLS,SOUND_MOVE_HOUSECARLS,SOUND_ATTACK_HOUSECARLS,midgard
12,Merguards,0,2,2a,2d,2h,1f,3,The,ICON_UNIT_MERGUARDS,SPRITE_MERGUARDS,SOUND_SELECT1_MERGUARDS,SOUND_MOVE_MERGUARDS,SOUND_ATTACK_MERGUARDS,midgard
13,Eaglemen,0,1,3a,2d,1h,1f,2,Plu,ICON_UNIT_EAGLEMEN,SPRITE_EAGLEMEN,SOUND_SELECT1_EAGLEMEN,SOUND_MOVE_EAGLEMEN,SOUND_ATTACK_EAGLEMEN,midgard
14,Berserkers,0,1,3a,1d,1h,2f,3,MP,ICON_UNIT_BERSERKERS,SPRITE_BERSERKERS,SOUND_SELECT1_BERSERKERS,SOUND_MOVE_BERSERKERS,SOUND_ATTACK_BERSERKERS,midgard
15,I. Horsemen,0,2,5a,2d,1h,2f,4,midgard:Chi,ICON_UNIT_I_HORSEMEN,SPRITE_I_HORSEMEN,SOUND_SELECT1_I_HORSEMEN,SOUND_MOVE_I_HORSEMEN,SOUND_ATTACK_I_HORSEMEN,midgard
16,Elf Riders,0,2,4a,2d,1h,2f,4,Plu,ICON_UNIT_ELF_RIDERS,SPRITE_ELF_RIDERS,SOUND_SELECT1_ELF_RIDERS,SOUND_MOVE_ELF_RIDERS,SOUND_ATTACK_ELF_RIDERS,midgard
17,Night Riders,0,2,4a,2d,2h,1f,4,midgard:Chi,ICON_UNIT_NIGHT_RIDERS,SPRITE_NIGHT_RIDERS,SOUND_SELECT1_NIGHT_RIDERS,SOUND_MOVE_NIGHT_RIDERS,SOUND_ATTACK_NIGHT_RIDERS,midgard
18,Rangers,0,2,4a,3d,2h,1f,4,Plu,ICON_UNIT_RANGERS,SPRITE_RANGERS,SOUND_SELECT1_RANGERS,SOUND_MOVE_RANGERS,SOUND_ATTACK_RANGERS,midgard
19,Golden Horde,0,2,5a,3d,2h,2f,5,midgard:Tac,ICON_UNIT_GOLDEN_HORDE,SPRITE_GOLDEN_HORDE,SOUND_SELECT1_GOLDEN_HORDE,SOUND_MOVE_GOLDEN_HORDE,SOUND_ATTACK_GOLDEN_HORDE,midgard
20,Giant Otterine,0,2,4a,2d,2h,1f,4,Plu,ICON_UNIT_GIANT_OTTERINE,SPRITE_GIANT_OTTERINE,SOUND_SELECT1_GIANT_OTTERINE,SOUND_MOVE_GIANT_OTTERINE,SOUND_ATTACK_GIANT_OTTERINE,midgard
21,Crag Wolves,0,2,4a,2d,1h,1f,3,midgard:Feu,ICON_UNIT_CRAG_WOLVES,SPRITE_CRAG_WOLVES,SOUND_SELECT1_CRAG_WOLVES,SOUND_MOVE_CRAG_WOLVES,SOUND_ATTACK_CRAG_WOLVES,midgard
22,Ice Drake,0,4,11a,8d,3h,2f,13,midgard:Cmn,ICON_UNIT_ICE_DRAKE,SPRITE_ICE_DRAKE,SOUND_SELECT1_ICE_DRAKE,SOUND_MOVE_ICE_DRAKE,SOUND_ATTACK_ICE_DRAKE,midgard
23,Treefolk,0,1,5a,10d,3h,1f,8,PT,ICON_UNIT_TREEFOLK,SPRITE_TREEFOLK,SOUND_SELECT1_TREEFOLK,SOUND_MOVE_TREEFOLK,SOUND_ATTACK_TREEFOLK,midgard
25,Siege Engine,0,1,8a,1d,2h,1f,5,midgard:Eng,ICON_UNIT_SIEGE_ENGINE,SPRITE_SIEGE_ENGINE,SOUND_SELECT1_SIEGE_ENGINE,SOUND_MOVE_SIEGE_ENGINE,SOUND_ATTACK_SIEGE_ENGINE,midgard
26,Bombard,0,1,8a,1d,2h,2f,6,midgard:Exp,ICON_UNIT_BOMBARD,SPRITE_BOMBARD,SOUND_SELECT1_BOMBARD,SOUND_MOVE_BOMBARD,SOUND_ATTACK_BOMBARD,midgard
27,Great Bats,1,6,5a,4d,1h,2f,5,midgard:Ato,ICON_UNIT_GREAT_BATS,SPRITE_GREAT_BATS,SOUND_SELECT1_GREAT_BATS,SOUND_MOVE_GREAT_BATS,SOUND_ATTACK_GREAT_BATS,midgard
28,Witches,1,3,7a,3d,2h,1f,6,Rob,ICON_UNIT_WITCHES,SPRITE_WITCHES,SOUND_SELECT1_WITCHES,SOUND_MOVE_WITCHES,SOUND_ATTACK_WITCHES,midgard
29,Great Wizard,1,6,6a,6d,2h,3f,10,NP,ICON_UNIT_GREAT_WIZARD,SPRITE_GREAT_WIZARD,SOUND_SELECT1_GREAT_WIZARD,SOUND_MOVE_GREAT_WIZARD,SOUND_ATTACK_GREAT_WIZARD,midgard
30,Ellida,1,7,10a,3d,2h,2f,10,midgard:Fli,ICON_UNIT_ELLIDA,SPRITE_ELLIDA,SOUND_SELECT1_ELLIDA,SOUND_MOVE_ELLIDA,SOUND_ATTACK_ELLIDA,midgard
31,Skidbladnir,1,9,7a,4d,2h,2f,9,midgard:Fli,ICON_UNIT_SKIDBLADNIR,SPRITE_SKIDBLADNIR,SOUND_SELECT1_SKIDBLADNIR,SOUND_MOVE_SKIDBLADNIR,SOUND_ATTACK_SKIDBLADNIR,midgard
32,Longboat,2,3,1a,1d,2h,1f,4,midgard:Map,ICON_UNIT_LONGBOAT,SPRITE_LONGBOAT,SOUND_SELECT1_LONGBOAT,SOUND_MOVE_LONGBOAT,SOUND_ATTACK_LONGBOAT,midgard
33,Dragon Boat,2,4,3a,2d,2h,1f,4,Mob,ICON_UNIT_DRAGON_BOAT,SPRITE_DRAGON_BOAT,SOUND_SELECT1_DRAGON_BOAT,SOUND_MOVE_DRAGON_BOAT,SOUND_ATTACK_DRAGON_BOAT,midgard
34,Old Man,0,2,3a,3d,1h,7f,8,midgard:E2,ICON_UNIT_OLD_MAN,SPRITE_OLD_MAN,SOUND_SELECT1_OLD_MAN,SOUND_MOVE_OLD_MAN,SOUND_ATTACK_OLD_MAN,midgard
35,Shield Boat,2,5,4a,4d,3h,1f,6,midgard:SE,ICON_UNIT_SHIELD_BOAT,SPRITE_SHIELD_BOAT,SOUND_SELECT1_SHIELD_BOAT,SOUND_MOVE_SHIELD_BOAT,SOUND_ATTACK_SHIELD_BOAT,midgard
36,Unspeakable Horror,2,4,20a,20d,5h,5f,6,Med,ICON_UNIT_UNSPEAKABLE_HORROR,SPRITE_UNSPEAKABLE_HORROR,SOUND_SELECT1_UNSPEAKABLE_HORROR,SOUND_MOVE_UNSPEAKABLE_HORROR,SOUND_ATTACK_UNSPEAKABLE_HORROR,midgard
37,Ench. Paladins,0,1,5a,5d,2h,1f,5,Lab,ICON_UNIT_ENCH_PALADINS,SPRITE_ENCH_PALADINS,SOUND_SELECT1_ENCH_PALADINS,SOUND_MOVE_ENCH_PALADINS,SOUND_ATTACK_ENCH_PALADINS,midgard
38,Changeling,0,2,4a,5d,2h,1f,5,Lab,ICON_UNIT_CHANGELING,SPRITE_CHANGELING,SOUND_SELECT1_CHANGELING,SOUND_MOVE_CHANGELING,SOUND_ATTACK_CHANGELING,midgard
39,Ench. Giant,0,1,5a,4d,2h,1f,5,midgard:Tac,ICON_UNIT_ENCH_GIANT,SPRITE_ENCH_GIANT,SOUND_SELECT1_ENCH_GIANT,SOUND_MOVE_ENCH_GIANT,SOUND_ATTACK_ENCH_GIANT,midgard
40,Ench. Ogre,0,1,5a,4d,2h,1f,5,Med,ICON_UNIT_ENCH_OGRE,SPRITE_ENCH_OGRE,SOUND_SELECT1_ENCH_OGRE,SOUND_MOVE_ENCH_OGRE,SOUND_ATTACK_ENCH_OGRE,midgard
41,Great Eagles,1,3,5a,2d,1h,1f,3,Plu,ICON_UNIT_GREAT_EAGLES,SPRITE_GREAT_EAGLES,SOUND_SELECT1_GREAT_EAGLES,SOUND_MOVE_GREAT_EAGLES,SOUND_ATTACK_GREAT_EAGLES,midgard
42,Fell Wraith,0,2,5a,4d,2h,1f,5,Rob,ICON_UNIT_FELL_WRAITH,SPRITE_FELL_WRAITH,SOUND_SELECT1_FELL_WRAITH,SOUND_MOVE_FELL_WRAITH,SOUND_ATTACK_FELL_WRAITH,midgard
43,Tree Guards,0,0,0a,10d,3h,2f,5,PT,ICON_UNIT_TREE_GUARDS,SPRITE_TREE_GUARDS,SOUND_SELECT1_TREE_GUARDS,SOUND_MOVE_TREE_GUARDS,SOUND_ATTACK_TREE_GUARDS,midgard
45,Fireball,1,16,99a,0d,1h,1f,16,Min,ICON_UNIT_FIREBALL,SPRITE_FIREBALL,SOUND_SELECT1_FIREBALL,SOUND_MOVE_FIREBALL,SOUND_ATTACK_FIREBALL,midgard
46,Envoy,0,2,0a,0d,1h,1f,3,midgard:Wri,ICON_UNIT_ENVOY,SPRITE_ENVOY,SOUND_SELECT1_ENVOY,SOUND_MOVE_ENVOY,SOUND_ATTACK_ENVOY,midgard
47,Spy,0,3,0a,0d,1h,1f,3,midgard:Esp,ICON_UNIT_SPY,SPRITE_SPY,SOUND_SELECT1_SPY,SOUND_MOVE_SPY,SOUND_ATTACK_SPY,midgard
49,Triton Legion,0,1,5a,4d,2h,1f,5,X2,ICON_UNIT_TRITON_LEGION,SPRITE_TRITON_LEGION,SOUND_SELECT1_TRITON_LEGION,SOUND_MOVE_TRITON_LEGION,SOUND_ATTACK_TRITON_LEGION,midgard
50,Jack O'Lantern,0,2,1a,2d,1h,1f,3,midgard:Sea,ICON_UNIT_JACK_OLANTERN,SPRITE_JACK_OLANTERN,SOUND_SELECT1_JACK_OLANTERN,SOUND_MOVE_JACK_OLANTERN,SOUND_ATTACK_JACK_OLANTERN,midgard
51,Skeletons,0,1,1a,1d,2h,1f,2,Rfg,ICON_UNIT_SKELETONS,SPRITE_SKELETONS,SOUND_SELECT1_SKELETONS,SOUND_MOVE_SKELETONS,SOUND_ATTACK_SKELETONS,midgard
52,Barrow Wights,0,1,3a,2d,1h,1f,2,Rfg,ICON_UNIT_BARROW_WIGHTS,SPRITE_BARROW_WIGHTS,SOUND_SELECT1_BARROW_WIGHTS,SOUND_MOVE_BARROW_WIGHTS,SOUND_ATTACK_BARROW_WIGHTS,midgard
53,Porpoise Pod,2,4,1a,1d,1h,1f,1,The,ICON_UNIT_PORPOISE_POD,SPRITE_PORPOISE_POD,SOUND_SELECT1_PORPOISE_POD,SOUND_MOVE_PORPOISE_POD,SOUND_ATTACK_PORPOISE_POD,midgard
55,Baba Yaga,1,3,10a,5d,2h,2f,10,SFl,ICON_UNIT_BABA_YAGA,SPRITE_BABA_YAGA,SOUND_SELECT1_BABA_YAGA,SOUND_MOVE_BABA_YAGA,SOUND_ATTACK_BABA_YAGA,midgard
56,Frost Giant,0,2,8a,7d,2h,2f,9,midgard:Mob,ICON_UNIT_FROST_GIANT,SPRITE_FROST_GIANT,SOUND_SELECT1_FROST_GIANT,SOUND_MOVE_FROST_GIANT,SOUND_ATTACK_FROST_GIANT,midgard
57,Giant Spider,0,1,7a,6d,1h,4f,8,PT,ICON_UNIT_GIANT_SPIDER,SPRITE_GIANT_SPIDER,SOUND_SELECT1_GIANT_SPIDER,SOUND_MOVE_GIANT_SPIDER,SOUND_ATTACK_GIANT_SPIDER,midgard
58,Kraken,2,4,12a,12d,4h,2f,12,Met,ICON_UNIT_KRAKEN,SPRITE_KRAKEN,SOUND_SELECT1_KRAKEN,SOUND_MOVE_KRAKEN,SOUND_ATTACK_KRAKEN,midgard
59,Dragon,1,5,10a,15d,3h,3f,16,Mob,ICON_UNIT_DRAGON,SPRITE_DRAGON,SOUND_SELECT1_DRAGON,SOUND_MOVE_DRAGON,SOUND_ATTACK_DRAGON,midgard
60,Jormungand's Spit,1,3,2a,1d,1h,8f,18,midgard:U1,ICON_UNIT_JORMUNGANDS_SPIT,SPRITE_JORMUNGANDS_SPIT,SOUND_SELECT1_JORMUNGANDS_SPIT,SOUND_MOVE_JORMUNGANDS_SPIT,SOUND_ATTACK_JORMUNGANDS_SPIT,midgard
61,Necromancer,1,8,8a,4d,1h,2f,7,Rob,ICON_UNIT_NECROMANCER,SPRITE_NECROMANCER,SOUND_SELECT1_NECROMANCER,SOUND_MOVE_NECROMANCER,SOUND_ATTACK_NECROMANCER,midgard
1,Engineers,0,2,0a,2d,2h,1f,4,War,ICON_UNIT_ENGINEERS,SPRITE_ENGINEERS,SOUND_SELECT1_ENGINEERS,SOUND_MOVE_ENGINEERS,SOUND_ATTACK_ENGINEERS,crusades
3,Light Infantry,0,2,1a,2d,1h,1f,2,crusades:Bro,ICON_UNIT_LIGHT_INFANTRY,SPRITE_LIGHT_INFANTRY,SOUND_SELECT1_LIGHT_INFANTRY,SOUND_MOVE_LIGHT_INFANTRY,SOUND_ATTACK_LIGHT_INFANTRY,crusades
4,Archers,0,1,3a,2d,1h,1f,3,War,ICON_UNIT_ARCHERS,SPRITE_ARCHERS,SOUND_SELECT1_ARCHERS,SOUND_MOVE_ARCHERS,SOUND_ATTACK_ARCHERS,crusades
5,Legion,0,3,4a,2d,2h,1f,4,War,ICON_UNIT_LEGION,SPRITE_LEGION,SOUND_SELECT1_LEGION,SOUND_MOVE_LEGION,SOUND_ATTACK_LEGION,crusades
6,Heavy Infantry,0,2,2a,2d,2h,1f,3,crusades:Feu,ICON_UNIT_HEAVY_INFANTRY,SPRITE_HEAVY_INFANTRY,SOUND_SELECT1_HEAVY_INFANTRY,SOUND_MOVE_HEAVY_INFANTRY,SOUND_ATTACK_HEAVY_INFANTRY,crusades
8,Fanatics,0,1,4a,4d,2h,1f,2,MP,ICON_UNIT_FANATICS,SPRITE_FANATICS,SOUND_SELECT1_FANATICS,SOUND_MOVE_FANATICS,SOUND_ATTACK_FANATICS,crusades
9,Partisans,0,1,4a,4d,2h,1f,5,Bro,ICON_UNIT_PARTISANS,SPRITE_PARTISANS,SOUND_SELECT1_PARTISANS,SOUND_MOVE_PARTISANS,SOUND_ATTACK_PARTISANS,crusades
15,Mamluks,0,3,4a,2d,2h,1f,4,crusades:Ast,ICON_UNIT_MAMLUKS,SPRITE_MAMLUKS,SOUND_SELECT1_MAMLUKS,SOUND_MOVE_MAMLUKS,SOUND_ATTACK_MAMLUKS,crusades
16,Heavy Cavalry,0,3,3a,2d,2h,1f,4,crusades:Whe,ICON_UNIT_HEAVY_CAVALRY,SPRITE_HEAVY_CAVALRY,SOUND_SELECT1_HEAVY_CAVALRY,SOUND_MOVE_HEAVY_CAVALRY,SOUND_ATTACK_HEAVY_CAVALRY,crusades
17,Varang. Guard,0,3,4a,3d,2h,1f,5,crusades:Che,ICON_UNIT_VARANG_GUARD,SPRITE_VARANG_GUARD,SOUND_SELECT1_VARANG_GUARD,SOUND_MOVE_VARANG_GUARD,SOUND_ATTACK_VARANG_GUARD,crusades
18,Crusaders,0,3,5a,1d,2h,2f,5,Lab,ICON_UNIT_CRUSADERS,SPRITE_CRUSADERS,SOUND_SELECT1_CRUSADERS,SOUND_MOVE_CRUSADERS,SOUND_ATTACK_CRUSADERS,crusades
20,Ascaris,0,3,4a,2d,2h,2f,4,crusades:Fun,ICON_UNIT_ASCARIS,SPRITE_ASCARIS,SOUND_SELECT1_ASCARIS,SOUND_MOVE_ASCARIS,SOUND_ATTACK_ASCARIS,crusades
21,Turcopoles,0,3,3a,2d,1h,2f,3,crusades:Bro,ICON_UNIT_TURCOPOLES,SPRITE_TURCOPOLES,SOUND_SELECT1_TURCOPOLES,SOUND_MOVE_TURCOPOLES,SOUND_ATTACK_TURCOPOLES,crusades
32,Trireme,2,8,1a,1d,1h,1f,4,crusades:Map,ICON_UNIT_TRIREME,SPRITE_TRIREME,SOUND_SELECT1_TRIREME,SOUND_MOVE_TRIREME,SOUND_ATTACK_TRIREME,crusades
33,Caravel,2,7,2a,1d,1h,1f,4,crusades:Nav,ICON_UNIT_CARAVEL,SPRITE_CARAVEL,SOUND_SELECT1_CARAVEL,SOUND_MOVE_CARAVEL,SOUND_ATTACK_CARAVEL,crusades
34,Galleon,2,4,0a,2d,2h,1f,4,The,ICON_UNIT_GALLEON,SPRITE_GALLEON,SOUND_SELECT1_GALLEON,SOUND_MOVE_GALLEON,SOUND_ATTACK_GALLEON,crusades
35,Frigate,2,4,4a,2d,2h,1f,5,X2,ICON_UNIT_FRIGATE,SPRITE_FRIGATE,SOUND_SELECT1_FRIGATE,SOUND_MOVE_FRIGATE,SOUND_ATTACK_FRIGATE,crusades
36,Ironclad,2,4,4a,4d,3h,1f,6,X2,ICON_UNIT_IRONCLAD,SPRITE_IRONCLAD,SOUND_SELECT1_IRONCLAD,SOUND_MOVE_IRONCLAD,SOUND_ATTACK_IRONCLAD,crusades
43,Transport,2,5,0a,3d,3h,1f,5,X2,ICON_UNIT_TRANSPORT,SPRITE_TRANSPORT,SOUND_SELECT1_TRANSPORT,SOUND_MOVE_TRANSPORT,SOUND_ATTACK_TRANSPORT,crusades
50,Explorer,0,1,0a,1d,1h,1f,3,War,ICON_UNIT_EXPLORER,SPRITE_EXPLORER,SOUND_SELECT1_EXPLORER,SOUND_MOVE_EXPLORER,SOUND_ATTACK_EXPLORER,crusades
51,Assassin,0,3,5a,0d,1h,5f,5,crusades:Mys,ICON_UNIT_ASSASSIN,SPRITE_ASSASSIN,SOUND_SELECT1_ASSASSIN,SOUND_MOVE_ASSASSIN,SOUND_ATTACK_ASSASSIN,crusades
52,Knights Templar,0,3,5a,2d,2h,2f,5,Lab,ICON_UNIT_KNIGHTS_TEMPLAR,SPRITE_KNIGHTS_TEMPLAR,SOUND_SELECT1_KNIGHTS_TEMPLAR,SOUND_MOVE_KNIGHTS_TEMPLAR,SOUND_ATTACK_KNIGHTS_TEMPLAR,crusades
53,Knights Hosp.,0,3,4a,3d,2h,2f,5,crusades:U2,ICON_UNIT_KNIGHTS_HOSP,SPRITE_KNIGHTS_HOSP,SOUND_SELECT1_KNIGHTS_HOSP,SOUND_MOVE_KNIGHTS_HOSP,SOUND_ATTACK_KNIGHTS_HOSP,crusades
0,Hurricane,1,12,20a,20d,10h,3f,11,cradle:ADVANCE_SUBNEURAL_ADS,ICON_UNIT_HURRICANE,SPRITE_HURRICANE,SOUND_SELECT1_HURRICANE,SOUND_MOVE_HURRICANE,SOUND_ATTACK_HURRICANE,cradle
1,Abolitionist,0,3,0a,2d,10h,1f,5,cradle:ADVANCE_CLASSICAL_EDUCATION,ICON_UNIT_ABOLITIONIST,SPRITE_ABOLITIONIST,SOUND_SELECT1_ABOLITIONIST,SOUND_MOVE_ABOLITIONIST,SOUND_ATTACK_ABOLITIONIST,cradle
3,Ambassador,0,2,0a,2d,10h,1f,6,cradle:ADVANCE_AGE_OF_REASON,ICON_UNIT_AMBASSADOR,SPRITE_AMBASSADOR,SOUND_SELECT1_AMBASSADOR,SOUND_MOVE_AMBASSADOR,SOUND_ATTACK_AMBASSADOR,cradle
5,Arquebusier,0,1,8a,7d,18h,2f,8,cradle:ADVANCE_GUNPOWDER,ICON_UNIT_ARQUEBUSIER,SPRITE_ARQUEBUSIER,SOUND_SELECT1_ARQUEBUSIER,SOUND_MOVE_ARQUEBUSIER,SOUND_ATTACK_ARQUEBUSIER,cradle
6,Elite Arquebusier,0,2,9a,8d,20h,2f,8,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_ARQUEBUSIER_ELITE,SPRITE_ARQUEBUSIER_ELITE,SOUND_SELECT1_ARQUEBUSIER_ELITE,SOUND_MOVE_ARQUEBUSIER_ELITE,SOUND_ATTACK_ARQUEBUSIER_ELITE,cradle
8,Ballista,0,1,1a,1d,10h,1f,6,cradle:ADVANCE_BALLISTICS,ICON_UNIT_BALLISTA,SPRITE_BALLISTA,SOUND_SELECT1_BALLISTA,SOUND_MOVE_BALLISTA,SOUND_ATTACK_BALLISTA,cradle
10,Berzerker,0,1,4a,2d,10h,1f,2,cradle:ADVANCE_AGRICULTURE,ICON_UNIT_BERZERKER,SPRITE_BERZERKER,SOUND_SELECT1_BERZERKER,SOUND_MOVE_BERZERKER,SOUND_ATTACK_BERZERKER,cradle
11,Bireme,2,5,4a,2d,10h,1f,3,cradle:ADVANCE_OUTRIGGER,ICON_UNIT_BIREME,SPRITE_BIREME,SOUND_SELECT1_BIREME,SOUND_MOVE_BIREME,SOUND_ATTACK_BIREME,cradle
14,Brigadier,0,3,8a,6d,15h,3f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_BRIGADIER,SPRITE_BRIGADIER,SOUND_SELECT1_BRIGADIER,SOUND_MOVE_BRIGADIER,SOUND_ATTACK_BRIGADIER,cradle
15,Camel,0,1,0a,1d,5h,1f,10,cradle:ADVANCE_SUBNEURAL_ADS,ICON_UNIT_CAMEL,SPRITE_CAMEL,SOUND_SELECT1_CAMEL,SOUND_MOVE_CAMEL,SOUND_ATTACK_CAMEL,cradle
19,Cataphract,0,4,6a,4d,14h,2f,8,cradle:ADVANCE_STIRRUP,ICON_UNIT_CATAPHRACT,SPRITE_CATAPHRACT,SOUND_SELECT1_CATAPHRACT,SOUND_MOVE_CATAPHRACT,SOUND_ATTACK_CATAPHRACT,cradle
21,Chariot,0,3,5a,2d,10h,1f,3,cradle:ADVANCE_CHARIOTS,ICON_UNIT_CHARIOT,SPRITE_CHARIOT,SOUND_SELECT1_CHARIOT,SOUND_MOVE_CHARIOT,SOUND_ATTACK_CHARIOT,cradle
23,Cleric,0,3,0a,2d,10h,1f,14,Las,ICON_UNIT_CLERIC,SPRITE_CLERIC,SOUND_SELECT1_CLERIC,SOUND_MOVE_CLERIC,SOUND_ATTACK_CLERIC,cradle
24,Club Warrior,0,1,3a,2d,10h,1f,1,cradle:ADVANCE_AGRICULTURE,ICON_UNIT_CLUB_WARRIOR,SPRITE_CLUB_WARRIOR,SOUND_SELECT1_CLUB_WARRIOR,SOUND_MOVE_CLUB_WARRIOR,SOUND_ATTACK_CLUB_WARRIOR,cradle
25,Elite Club Warrior,0,2,4a,3d,12h,1f,1,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_CLUB_WARRIOR_ELITE,SPRITE_CLUB_WARRIOR_ELITE,SOUND_SELECT1_CLUB_WARRIOR_ELITE,SOUND_MOVE_CLUB_WARRIOR_ELITE,SOUND_ATTACK_CLUB_WARRIOR_ELITE,cradle
26,Cog,2,7,3a,3d,10h,1f,6,cradle:ADVANCE_COMPASS,ICON_UNIT_COG,SPRITE_COG,SOUND_SELECT1_COG,SOUND_MOVE_COG,SOUND_ATTACK_COG,cradle
27,Colonel,0,4,10a,8d,18h,4f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_COLONEL,SPRITE_COLONEL,SOUND_SELECT1_COLONEL,SOUND_MOVE_COLONEL,SOUND_ATTACK_COLONEL,cradle
28,Composite Archer,0,1,2a,2d,10h,2f,6,cradle:ADVANCE_COMPOSITE_BOW,ICON_UNIT_COMPOSITE_ARCHER,SPRITE_COMPOSITE_ARCHER,SOUND_SELECT1_COMPOSITE_ARCHER,SOUND_MOVE_COMPOSITE_ARCHER,SOUND_ATTACK_COMPOSITE_ARCHER,cradle
31,Crawler,2,12,0a,2d,20h,1f,45,cradle:ADVANCE_ULTRAPRESSURE_MACHINERY,ICON_UNIT_CRAWLER,SPRITE_CRAWLER,SOUND_SELECT1_CRAWLER,SOUND_MOVE_CRAWLER,SOUND_ATTACK_CRAWLER,cradle
32,Crossbowman,0,1,2a,3d,12h,2f,7,cradle:ADVANCE_CROSSBOW,ICON_UNIT_CROSSBOWMAN,SPRITE_CROSSBOWMAN,SOUND_SELECT1_CROSSBOWMAN,SOUND_MOVE_CROSSBOWMAN,SOUND_ATTACK_CROSSBOWMAN,cradle
37,Dinosaur,0,1,5a,2d,10h,1f,2,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_WARRIOR,SPRITE_WARRIOR,SOUND_SELECT1_DINOSAUR,SOUND_MOVE_DINOSAUR,SOUND_ATTACK_DINOSAUR,cradle
38,Diplomat,0,2,0a,2d,10h,1f,3,cradle:ADVANCE_DYNASTY,ICON_UNIT_DIPLOMAT,SPRITE_DIPLOMAT,SOUND_SELECT1_DIPLOMAT,SOUND_MOVE_DIPLOMAT,SOUND_ATTACK_DIPLOMAT,cradle
40,Dromon,2,8,6a,4d,15h,1f,7,cradle:ADVANCE_GREEK_FIRE,ICON_UNIT_DROMON,SPRITE_DROMON,SOUND_SELECT1_DROMON,SOUND_MOVE_DROMON,SOUND_ATTACK_DROMON,cradle
41,Early Galley,2,5,2a,2d,10h,1f,2,The,ICON_UNIT_EARLY_GALLEY,SPRITE_EARLY_GALLEY,SOUND_SELECT1_EARLY_GALLEY,SOUND_MOVE_EARLY_GALLEY,SOUND_ATTACK_EARLY_GALLEY,cradle
44,War Elephant,0,2,6a,4d,14h,1f,5,cradle:ADVANCE_OLIGARCHY,ICON_UNIT_ELEPHANT_WARRIOR,SPRITE_ELEPHANT_WARRIOR,SOUND_SELECT1_ELEPHANT_WARRIOR,SOUND_MOVE_ELEPHANT_WARRIOR,SOUND_ATTACK_ELEPHANT_WARRIOR,cradle
45,Emissary,0,2,0a,2d,10h,1f,1,cradle:ADVANCE_EXPLORATION,ICON_UNIT_EMISSARY,SPRITE_EMISSARY,SOUND_SELECT1_EMISSARY,SOUND_MOVE_EMISSARY,SOUND_ATTACK_EMISSARY,cradle
46,Empathic Diplomat,0,3,0a,2d,10h,1f,17,cradle:ADVANCE_EUGENICS,ICON_UNIT_EMPATHIC_DIPLOMAT,SPRITE_EMPATHIC_DIPLOMAT,SOUND_SELECT1_EMPATHIC_DIPLOMAT,SOUND_MOVE_EMPATHIC_DIPLOMAT,SOUND_ATTACK_EMPATHIC_DIPLOMAT,cradle
53,Great General,0,3,6a,6d,20h,2f,15,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_GREAT_GENERAL,SPRITE_GREAT_GENERAL,SOUND_SELECT1_GREAT_GENERAL,SOUND_MOVE_GREAT_GENERAL,SOUND_ATTACK_GREAT_GENERAL,cradle
54,Great King,0,3,5a,3d,18h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_GREAT_KING,SPRITE_GREAT_KING,SOUND_SELECT1_GREAT_KING,SOUND_MOVE_GREAT_KING,SOUND_ATTACK_GREAT_KING,cradle
55,Halberdier,0,1,4a,5d,17h,2f,6,cradle:ADVANCE_GUNPOWDER,ICON_UNIT_HALBERDIER,SPRITE_HALBERDIER,SOUND_SELECT1_HALBERDIER,SOUND_MOVE_HALBERDIER,SOUND_ATTACK_HALBERDIER,cradle
56,Elite Halberdier,0,2,5a,6d,18h,2f,6,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HALBERDIER_ELITE,SPRITE_HALBERDIER_ELITE,SOUND_SELECT1_HALBERDIER_ELITE,SOUND_MOVE_HALBERDIER_ELITE,SOUND_ATTACK_HALBERDIER_ELITE,cradle
58,Hero,0,3,8a,8d,20h,2f,10,cradle:ADVANCE_HEXTAPUL,ICON_UNIT_HERO,SPRITE_HERO,SOUND_SELECT1_HERO,SOUND_MOVE_HERO,SOUND_ATTACK_HERO,cradle
59,Hired Thug,0,3,0a,2d,10h,1f,18,cradle:ADVANCE_CITY_STATE,ICON_UNIT_HIRED_THUG,SPRITE_HIRED_THUG,SOUND_SELECT1_HIRED_THUG,SOUND_MOVE_HIRED_THUG,SOUND_ATTACK_HIRED_THUG,cradle
