ADVANCE_ALCHEMY					"Alchemy"
ADVANCE_DICTATORSHIP_GONDOR			"Dictatorship Gondor"
ADVANCE_DICTATORSHIP_HARADRIM			"Dictatorship Haradrim"
ADVANCE_DICTATORSHIP_ORCS			"Dictatorship Orcs"
ADVANCE_DICTATORSHIP_ROHAN			"Dictatorship Rohan"
ADVANCE_DOMESTICATION_EVIL			"Domestication Evil"
ADVANCE_DRAMA_MEN				"Drama Men"
ADVANCE_DRAMA_MORDOR				"Drama Mordor"
ADVANCE_DRAMA_SINDAR				"Drama Sindar"
ADVANCE_DYNASTY_ARNOR				"Dynasty Arnor"
ADVANCE_DYNASTY_GONDOR				"Dynasty Gondor"
ADVANCE_DYNASTY_ORCS				"Dynasty Orcs"
ADVANCE_ETHICS_ISENGARD				"Ethics Isengard"
ADVANCE_ETHICS_GOOD				"Ethics Good"
ADVANCE_GRANARIES_ROHAN				"Granaries Rohan"
ADVANCE_HERBALISM_EASTERLING			"Herbalism Easterling"
ADVANCE_HIPPOCRATIC_SCHOOL_GONDOR		"Hippocratic School Gondor"
ADVANCE_HIPPOCRATIC_SCHOOL_SINDAR		"Hippocratic School Sindar"
ADVANCE_HORSE_RIDING_ORCS			"Horse Riding Orcs"
ADVANCE_HORSE_RIDING_ROHAN			"Horse Riding Rohan"
ADVANCE_HULL_MAKING				"Hull Making"
ADVANCE_HULL_MAKING_EVIL			"Hull Making Evil"
ADVANCE_IRON_WORKING_DWARVES			"Iron Working Dwarves"
ADVANCE_IRON_WORKING_EVIL			"Iron Working Evil"
ADVANCE_IRON_WORKING_ISENGARD			"Iron Working Isengard"
ADVANCE_IRON_WORKING_ORCS			"Iron Working Orcs"
ADVANCE_JURISPRUDENCE_MORDOR			"Jurisprudence Mordor"
ADVANCE_JURISPRUDENCE_NORTHMEN			"Jurisprudence Northmen"
ADVANCE_JURISPRUDENCE_ROHAN			"Jurisprudence Rohan"
ADVANCE_MAP_MAKING_ARNOR			"Map Making Arnor"
ADVANCE_MASONRY_DWARVES				"Masonry Dwarves"
ADVANCE_MASONRY_ROHAN				"Masonry Rohan"
ADVANCE_MINING_EASTERLING			"Mining Easterling"
ADVANCE_MOBILE_TACTICS_ELVES			"Mobile Tactics Elves"
ADVANCE_MOBILE_TACTICS_EVIL			"Mobile Tactics Evil"
ADVANCE_MOBILE_TACTICS_MEN			"Mobile Tactics Men"
ADVANCE_MOBILE_TACTICS_ROHAN			"Mobile Tactics Rohan"
ADVANCE_MONOTHEISM_GONDOR			"Monotheism Gondor"
ADVANCE_OCEAN_FARING_HARADRIM			"Ocean Faring Haradrim"
ADVANCE_OLIGARCHY_ANGMAR			"Oligarchy Angmar"
ADVANCE_OLIGARCHY_ARNOR				"Oligarchy Arnor"
ADVANCE_OLIGARCHY_DWARVES			"Oligarchy Dwarves"
ADVANCE_OLIGARCHY_EASTERLING			"Oligarchy Easterling"
ADVANCE_OLIGARCHY_GONDOR			"Oligarchy Gondor"
ADVANCE_OLIGARCHY_HARADRIM			"Oligarchy Haradrim"
ADVANCE_OLIGARCHY_HOBBITS			"Oligarchy Hobbits"
ADVANCE_OLIGARCHY_ROHAN				"Oligarchy Rohan"
ADVANCE_ONE_RING				"One Ring"
ADVANCE_ONE_RING2				"One Ring2"
ADVANCE_PHILOSOPHY_ANGMAR			"Philosophy Angmar"
ADVANCE_PHILOSOPHY_ARNOR			"Philosophy Arnor"
ADVANCE_PHILOSOPHY_GOOD				"Philosophy Good"
ADVANCE_PLUMBING_GOOD				"Plumbing Good"
ADVANCE_PLUMBING_EVIL				"Plumbing Evil"
ADVANCE_PROJECTILE_WEAPONS_ELVES		"Projectile Weapons Elves"
ADVANCE_PROJECTILE_WEAPONS_ORCS			"Projectile Weapons Orcs"
ADVANCE_PROPULSION				"Propulsion"
ADVANCE_RELIGION_MORDOR				"Religion Mordor"
ADVANCE_RELIGION_SINDAR				"Religion Sindar"
ADVANCE_REPUBLIC_DWARVES			"Republic Dwarves"
ADVANCE_REPUBLIC_GONDOR				"Republic Gondor"
ADVANCE_REPUBLIC_HOBBITS			"Republic Hobbits"
ADVANCE_REPUBLIC_MORDOR				"Republic Mordor"
ADVANCE_REPUBLIC_ROHAN				"Republic Rohan"
ADVANCE_SAILS_HARADRIM				"Sails Haradrim"
ADVANCE_SHIP_BUILDING				"Ship Building"
ADVANCE_SIEGE_WEAPONS_ELVES			"Siege Weapons Elves"
ADVANCE_SIEGE_WEAPONS_MORDOR			"Siege Weapons Mordor"
ADVANCE_SLAVE_LABOR_EVIL			"Slave Labor Evil"
ADVANCE_SLAVE_LABOR_HARADRIM			"Slave Labor Haradrim"
ADVANCE_STIRRUP_GONDOR				"Stirrup Gondor"
ADVANCE_STIRRUP_HARADRIM			"Stirrup Haradrim"
ADVANCE_STIRRUP_MEN				"Stirrup Men"
ADVANCE_STIRRUP_MORDOR				"Stirrup Mordor"
ADVANCE_STIRRUP_ORCS				"Stirrup Orcs"
ADVANCE_STIRRUP_ROHAN				"Stirrup Rohan"
ADVANCE_STONE_WORKING_DWARVES			"Stone Working Dwarves"
ADVANCE_TOOLMAKING_ORCS				"Toolmaking Orcs"
ADVANCE_TRADE_HOBBITS				"Trade Hobbits"
ADVANCE_TRIBUNAL_EMPIRE_ARNOR			"Tribunal Empire Arnor"
ADVANCE_TRIBUNAL_EMPIRE_EASTERLING		"Tribunal Empire Easterling"
ADVANCE_TRIBUNAL_EMPIRE_GONDOR			"Tribunal Empire Gondor"
ADVANCE_TRIBUNAL_EMPIRE_HOBBITS			"Tribunal Empire Hobbits"
ADVANCE_TRIBUNAL_EMPIRE_ISENGARD		"Tribunal Empire Isengard"
ADVANCE_TRIBUNAL_EMPIRE_ORCS			"Tribunal Empire Orcs"
ADVANCE_TRIBUNAL_EMPIRE_ROHAN			"Tribunal Empire Rohan"
ADVANCE_TRIBUNAL_EMPIRE_SINDAR			"Tribunal Empire Sindar"
ADVANCE_WATER_LIFTS_EASTERLING			"Water Lifts Easterling"
ADVANCE_WATER_LIFTS_GONDOR			"Water Lifts Gondor"
ADVANCE_WATER_LIFTS_GOOD			"Water Lifts Good"
ADVANCE_WATER_LIFTS_HOBBITS			"Water Lifts Hobbits"
ADVANCE_WRITING_ARNOR				"Writing Arnor"
ADVANCE_WRITING_GONDOR				"Writing Gondor"
ADVANCE_ADVANCED_COMPOSITES			"Advanced Composites"
ADVANCE_ADV_FLIGHT_WAW				"Adv Flight Waw"
ADVANCE_ADV_INFANTRY_TACTICS			"Adv Infantry Tactics"
ADVANCE_ADV_NAVAL_TACTICS			"Adv Naval Tactics"
ADVANCE_ADV_URBAN_PLANNING			"Adv Urban Planning"
ADVANCE_AERODYNAMICS				"Aerodynamics"
ADVANCE_AI_SURVEILLANCE				"Ai Surveillance"
ADVANCE_ARCOLOGIES				"Arcologies"
ADVANCE_ASSEMBLY_LINES_WAW			"Assembly Lines Waw"
ADVANCE_ASSEMBLY_LINE_WAW			"Assembly Line Waw"
ADVANCE_ATOMIC_STRUC_WAW			"Atomic Struc Waw"
ADVANCE_AUTOMOBILE				"Automobile"
ADVANCE_BEAST_MASTERY				"Beast Mastery"
ADVANCE_BESERKER_TRAINING			"Beserker Training"
ADVANCE_BIG_BANG_WAW				"Big Bang Waw"
ADVANCE_CANNON_MAKING				"Cannon Making"
ADVANCE_CENTAUR_TRAINING			"Centaur Training"
ADVANCE_CHAOS_THEORY				"Chaos Theory"
ADVANCE_CHEM_WEAPS_WAW				"Chem Weaps Waw"
ADVANCE_CITY_WIDE_ENCHANTMENT			"City Wide Enchantment"
ADVANCE_COMMUNISM				"Communism"
ADVANCE_COMPUTER				"Computer"
ADVANCE_COMPUTERS				"Computers"
ADVANCE_CONSERVATION				"Conservation"
ADVANCE_CONSUMER_ELECTRONICS			"Consumer Electronics"
ADVANCE_CORPORATE_REPUBLIC			"Corporate Republic"
ADVANCE_CORPORATION				"Corporation"
ADVANCE_CRIMINAL_CODE				"Criminal Code"
ADVANCE_CRUSADE					"Crusade"
ADVANCE_CRYONICS				"Cryonics"
ADVANCE_CYBERNETICS				"Cybernetics"
ADVANCE_CYCLOTRON_WAW				"Cyclotron Waw"
ADVANCE_DARK_KNOWLEDGE				"Dark Knowledge"
ADVANCE_DEMOCRACY				"Democracy"
ADVANCE_DIGITAL_ENCRYPTION			"Digital Encryption"
ADVANCE_DRACONIC				"Draconic"
ADVANCE_DRUGS_WAW				"Drugs Waw"
ADVANCE_ECONOMICS				"Economics"
ADVANCE_ECOTOPIA				"Ecotopia"
ADVANCE_ELECTRICITY				"Electricity"
ADVANCE_ELECTRIFICATION				"Electrification"
ADVANCE_ELECTRONICS				"Electronics"
ADVANCE_ELEC_APPS_WAW				"Elec Apps Waw"
ADVANCE_ELEC_COMP_WAW				"Elec Comp Waw"
ADVANCE_ELEC_WAR_WAW				"Elec War Waw"
ADVANCE_ELF_NOBILITY				"Elf Nobility"
ADVANCE_EUGENICS				"Eugenics"
ADVANCE_EUGENICS_WAW				"Eugenics Waw"
ADVANCE_EXPLOSIVES				"Explosives"
ADVANCE_FASCISM					"Fascism"
ADVANCE_FIRE_MAGIC				"Fire Magic"
ADVANCE_FUEL_CELLS				"Fuel Cells"
ADVANCE_FUSION					"Fusion"
ADVANCE_GAIA_CONTROLLER				"Gaia Controller"
ADVANCE_GAIA_THEORY				"Gaia Theory"
ADVANCE_GALLEONS				"Galleons"
ADVANCE_GENETICS				"Genetics"
ADVANCE_GENETIC_TAILORING			"Genetic Tailoring"
ADVANCE_GLOBAL_COMMUNICATIONS			"Global Communications"
ADVANCE_GLOBAL_DEFENSE				"Global Defense"
ADVANCE_GLOBAL_ECONOMICS			"Global Economics"
ADVANCE_GREAT_DRAGONS				"Great Dragons"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Guided Weapon Systems"
ADVANCE_HEROISM					"Heroism"
ADVANCE_HOME_CHAOS				"Home Chaos"
ADVANCE_HOME_DEATH				"Home Death"
ADVANCE_HOME_LIFE				"Home Life"
ADVANCE_HOME_NATURE				"Home Nature"
ADVANCE_HOME_SORCERY				"Home Sorcery"
ADVANCE_HORSEMANSHIP				"Horsemanship"
ADVANCE_HORSE_ARMOR				"Horse Armor"
ADVANCE_HT_SUPERCONDUCTOR			"Ht Superconductor"
ADVANCE_HUMAN_CLONING				"Human Cloning"
ADVANCE_INDUSTRIAL_REVOLUTION			"Industrial Revolution"
ADVANCE_INSECT_MAGIC				"Insect Magic"
ADVANCE_INTEL_TESTS_WAW				"Intel Tests Waw"
ADVANCE_INTERCHANGABLE_PARTS			"Interchangable Parts"
ADVANCE_INTERNAL_COMBUSTION			"Internal Combustion"
ADVANCE_JET_PROPULSION				"Jet Propulsion"
ADVANCE_LIFE_EXTENSION				"Life Extension"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Liquid Breathing Apparatus"
ADVANCE_MAGICAL_ENGINEERING			"Magical Engineering"
ADVANCE_MARKSMANSHIP				"Marksmanship"
ADVANCE_MASS_MEDIA				"Mass Media"
ADVANCE_MASS_PRODUCTION				"Mass Production"
ADVANCE_MASS_TRANSIT				"Mass Transit"
ADVANCE_MEDICINE				"Medicine"
ADVANCE_MIND_CONTROL				"Mind Control"
ADVANCE_MODERN_METALLURGY			"Modern Metallurgy"
ADVANCE_MONSTER_SUMMONING			"Monster Summoning"
ADVANCE_MOTOR_WAR_WAW				"Motor War Waw"
ADVANCE_MYTHICAL_BEASTS				"Mythical Beasts"
ADVANCE_NA					"Na"
ADVANCE_NANOASSEMBLY				"Nanoassembly"
ADVANCE_NANO_ASSEMBLY				"Nano Assembly"
ADVANCE_NANO_MACHINES				"Nano Machines"
ADVANCE_NANO_WARFARE				"Nano Warfare"
ADVANCE_NATIONALISM				"Nationalism"
ADVANCE_NAVAL_AVIATION				"Naval Aviation"
ADVANCE_NAVAL_WAR_WAW				"Naval War Waw"
ADVANCE_NEURAL_INTERFACE			"Neural Interface"
ADVANCE_NEURAL_REPROGRAMMING			"Neural Reprogramming"
ADVANCE_NEURAL_SILICON_INTERFACE		"Neural Silicon Interface"
ADVANCE_NUCLEAR_POWER				"Nuclear Power"
ADVANCE_NUC_REACT_WAW				"Nuc React Waw"
ADVANCE_NYLON_WAW				"Nylon Waw"
ADVANCE_OIL_REFINING				"Oil Refining"
ADVANCE_PENICILLIN_WAW				"Penicillin Waw"
ADVANCE_PHARMACEUTICALS				"Pharmaceuticals"
ADVANCE_PHYSICS					"Physics"
ADVANCE_PLASMA_WEAPONRY				"Plasma Weaponry"
ADVANCE_POWER_FLIGHT_WAW			"Power Flight Waw"
ADVANCE_QUANTUM_ENERGY_WAW			"Quantum Energy Waw"
ADVANCE_QUANTUM_MECHANICS			"Quantum Mechanics"
ADVANCE_RADAR					"Radar"
ADVANCE_RADAR_WAW				"Radar Waw"
ADVANCE_RADIO_BROAD_WAW				"Radio Broad Waw"
ADVANCE_RADIO_WAVES_WAW				"Radio Waves Waw"
ADVANCE_RAILROAD				"Railroad"
ADVANCE_RELATIVITY_ONE_WAW			"Relativity One Waw"
ADVANCE_RELATIVITY_TWO_WAW			"Relativity Two Waw"
ADVANCE_ROBOTICS				"Robotics"
ADVANCE_ROCKETRY_WAW				"Rocketry Waw"
ADVANCE_SAILING					"Sailing"
ADVANCE_SEA_DRAGONS				"Sea Dragons"
ADVANCE_SEA_MAGIC				"Sea Magic"
ADVANCE_SLING_MAKING				"Sling Making"
ADVANCE_SMART_MATERIALS				"Smart Materials"
ADVANCE_SPACE_FLIGHT				"Space Flight"
ADVANCE_SPEAR_WORKING				"Spear Working"
ADVANCE_START_WAW				"Start Waw"
ADVANCE_STEALTH_TECHNOLOGY			"Stealth Technology"
ADVANCE_STORM_MAGIC				"Storm Magic"
ADVANCE_SUBNEURAL_ADS				"Subneural Ads"
ADVANCE_SUPERSONIC_FLIGHT			"Supersonic Flight"
ADVANCE_SWORD_WORKING				"Sword Working"
ADVANCE_TANK_WARFARE				"Tank Warfare"
ADVANCE_TECHNOCRACY				"Technocracy"
ADVANCE_TELEVISION_WAW				"Television Waw"
ADVANCE_THE_LASER				"The Laser"
ADVANCE_TRANSISTOR_WAW				"Transistor Waw"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Ultrapressure Machinery"
ADVANCE_UNCERTAINTY_WAW				"Uncertainty Waw"
ADVANCE_UNIFIED_FIELD_THEORY			"Unified Field Theory"
ADVANCE_UNIFIED_PHYSICS				"Unified Physics"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Vertical Flight Aircraft"
ADVANCE_VIRTUAL_DEMOCRACY			"Virtual Democracy"
ADVANCE_WIZARD_GUILD				"Wizard Guild"
IMPROVE_WIZARDS_FORTRESS			"Wizard's Fortress"
DESCRIPTION_IMPROVE_WIZARDS_FORTRESS		""
IMPROVE_BARRACKS				"Barracks"
DESCRIPTION_IMPROVE_BARRACKS			""
IMPROVE_GRANARY					"Granary"
DESCRIPTION_IMPROVE_GRANARY			""
IMPROVE_TEMPLE					"Temple"
DESCRIPTION_IMPROVE_TEMPLE			""
IMPROVE_LIBRARY					"Library"
DESCRIPTION_IMPROVE_LIBRARY			""
IMPROVE_COURTHOUSE				"Courthouse"
DESCRIPTION_IMPROVE_COURTHOUSE			""
IMPROVE_CITY_WALLS				"City Walls"
DESCRIPTION_IMPROVE_CITY_WALLS			""
IMPROVE_AQUEDUCT				"Aqueduct"
DESCRIPTION_IMPROVE_AQUEDUCT			""
IMPROVE_CATHEDRAL				"Cathedral"
DESCRIPTION_IMPROVE_CATHEDRAL			""
IMPROVE_UNIVERSITY				"University"
DESCRIPTION_IMPROVE_UNIVERSITY			""
IMPROVE_COLOSSEUM				"Colosseum"
DESCRIPTION_IMPROVE_COLOSSEUM			""
IMPROVE_MECHANICIANS_GUILD			"Mechanician's Guild"
DESCRIPTION_IMPROVE_MECHANICIANS_GUILD		""
IMPROVE_PRIMAL_SOURCE				"Primal Source"
DESCRIPTION_IMPROVE_PRIMAL_SOURCE		""
IMPROVE_MERCHANTS_GUILD				"Merchant's Guild"
DESCRIPTION_IMPROVE_MERCHANTS_GUILD		""
IMPROVE_BEACON_OF_WISDOM			"Beacon of Wisdom"
DESCRIPTION_IMPROVE_BEACON_OF_WISDOM		""
IMPROVE_COASTAL_FORTRESS			"Coastal Fortress"
DESCRIPTION_IMPROVE_COASTAL_FORTRESS		""
IMPROVE_HARBOR					"Harbor"
DESCRIPTION_IMPROVE_HARBOR			""
IMPROVE_FANTASTIC_STABLE			"Fantastic Stable"
DESCRIPTION_IMPROVE_FANTASTIC_STABLE		""
IMPROVE_PORT					"Port"
DESCRIPTION_IMPROVE_PORT			""
IMPROVE_SUPERMARKET				"Supermarket"
DESCRIPTION_IMPROVE_SUPERMARKET			""
IMPROVE_CAPITAL_PALACE				"Capital (Palace)"
DESCRIPTION_IMPROVE_CAPITAL_PALACE		""
IMPROVE_TAVERN_TEMPLE				"Tavern (Temple)"
DESCRIPTION_IMPROVE_TAVERN_TEMPLE		""
IMPROVE_MARKETPLACE				"MarketPlace"
DESCRIPTION_IMPROVE_MARKETPLACE			""
IMPROVE_CASTLE_FORTIFICATIONS_CITY_WALLS	"Castle Fortifications (City Walls)"
DESCRIPTION_IMPROVE_CASTLE_FORTIFICATIONS_CITY_WALLS	""
IMPROVE_WATERFALL_AQUEDUCT			"Waterfall (Aqueduct)"
DESCRIPTION_IMPROVE_WATERFALL_AQUEDUCT		""
IMPROVE_STATUE_BANK				"Statue (Bank)"
DESCRIPTION_IMPROVE_STATUE_BANK			""
IMPROVE_MAGE_GUILD_UNIVERSITY			"Mage Guild (University)"
DESCRIPTION_IMPROVE_MAGE_GUILD_UNIVERSITY	""
IMPROVE_TREEHOUSE_MASS_TRANSIT			"Treehouse (Mass Transit)"
DESCRIPTION_IMPROVE_TREEHOUSE_MASS_TRANSIT	""
IMPROVE_ARENA_COLOSSEUM				"Arena (Colosseum)"
DESCRIPTION_IMPROVE_ARENA_COLOSSEUM		""
IMPROVE_FOUNDRY_FACTORY				"Foundry (Factory)"
DESCRIPTION_IMPROVE_FOUNDRY_FACTORY		""
IMPROVE_UPG_FOUNDRY_MANUFACTURING_PLANT		"Upg. Foundry (Manufacturing Plant)"
DESCRIPTION_IMPROVE_UPG_FOUNDRY_MANUFACTURING_PLANT	""
IMPROVE_MAGIC_SHIELD_TOWER_SDI_DEFENSE		"Magic Shield Tower (SDI Defense)"
DESCRIPTION_IMPROVE_MAGIC_SHIELD_TOWER_SDI_DEFENSE	""
IMPROVE_GARBAGE_HEAP_RECYCLING_CENTER		"Garbage Heap (Recycling Center)"
DESCRIPTION_IMPROVE_GARBAGE_HEAP_RECYCLING_CENTER	""
IMPROVE_CAVE_MINE_POWER_PLANT			"Cave Mine (Power Plant)"
DESCRIPTION_IMPROVE_CAVE_MINE_POWER_PLANT	""
IMPROVE_BRIDGE_DAM_HYDRO_PLANT			"Bridge Dam (Hydro Plant)"
DESCRIPTION_IMPROVE_BRIDGE_DAM_HYDRO_PLANT	""
IMPROVE_DUNGEON_KEEP_STOCK_EXCHANGE		"Dungeon Keep (Stock Exchange)"
DESCRIPTION_IMPROVE_DUNGEON_KEEP_STOCK_EXCHANGE	""
IMPROVE_WELL_SEWER_SYSTEM			"Well (Sewer System)"
DESCRIPTION_IMPROVE_WELL_SEWER_SYSTEM		""
IMPROVE_FARMS_SUPERMARKET			"Farms (Supermarket)"
DESCRIPTION_IMPROVE_FARMS_SUPERMARKET		""
IMPROVE_STONEHENGE_SUPERHIGHWAYS		"Stonehenge (Superhighways)"
DESCRIPTION_IMPROVE_STONEHENGE_SUPERHIGHWAYS	""
IMPROVE_LABORATORY_RESEARCH_LAB			"Laboratory (Research Lab)"
DESCRIPTION_IMPROVE_LABORATORY_RESEARCH_LAB	""
IMPROVE_SEASIDE_TURRETS_COASTAL_FORTRESS	"Seaside Turrets (Coastal Fortress)"
DESCRIPTION_IMPROVE_SEASIDE_TURRETS_COASTAL_FORTRESS	""
IMPROVE_MAGIC_PYRAMID_SOLAR_PLANT		"Magic Pyramid (Solar Plant)"
DESCRIPTION_IMPROVE_MAGIC_PYRAMID_SOLAR_PLANT	""
IMPROVE_UPG_HARBOR_OFFSHORE_PLATFORM		"Upg. Harbor (Offshore Platform)"
DESCRIPTION_IMPROVE_UPG_HARBOR_OFFSHORE_PLATFORM	""
IMPROVE_CLIFF_NEST_AIRPORT			"Cliff Nest (Airport)"
DESCRIPTION_IMPROVE_CLIFF_NEST_AIRPORT		""
IMPROVE_CAPTAINS_QUARTERS_POLICE_STATION	"Captain's Quarters (Police Station)"
DESCRIPTION_IMPROVE_CAPTAINS_QUARTERS_POLICE_STATION	""
IMPROVE_PORT_FACILITY				"Port Facility"
DESCRIPTION_IMPROVE_PORT_FACILITY		""
IMPROVE_AZURE_DRAGON_CAPTURE			"Azure Dragon Capture"
DESCRIPTION_IMPROVE_AZURE_DRAGON_CAPTURE	""
IMPROVE_AZURE_DRAGON_BREEDING			"Azure Dragon Breeding"
DESCRIPTION_IMPROVE_AZURE_DRAGON_BREEDING	""
IMPROVE_AZURE_DRAGON_TRAINING			"Azure Dragon Training"
DESCRIPTION_IMPROVE_AZURE_DRAGON_TRAINING	""
IMPROVE_KEEP					"Keep"
DESCRIPTION_IMPROVE_KEEP			""
IMPROVE_STOREHOUSE				"Storehouse"
DESCRIPTION_IMPROVE_STOREHOUSE			""
IMPROVE_BAZAAR					"Bazaar"
DESCRIPTION_IMPROVE_BAZAAR			""
IMPROVE_CASTLE					"Castle"
DESCRIPTION_IMPROVE_CASTLE			""
IMPROVE_COUNTING_HOUSE				"Counting House"
DESCRIPTION_IMPROVE_COUNTING_HOUSE		""
IMPROVE_WIZARDS_TOWER				"Wizard's Tower"
DESCRIPTION_IMPROVE_WIZARDS_TOWER		""
IMPROVE_THAUMATURGICAL_GUILD			"Thaumaturgical Guild"
DESCRIPTION_IMPROVE_THAUMATURGICAL_GUILD	""
IMPROVE_TWENTY_LEAGUE_BOOTS			"Twenty League Boots"
DESCRIPTION_IMPROVE_TWENTY_LEAGUE_BOOTS		""
IMPROVE_ARENA					"Arena"
DESCRIPTION_IMPROVE_ARENA			""
IMPROVE_CRAFTS_GUILD				"Crafts Guild"
DESCRIPTION_IMPROVE_CRAFTS_GUILD		""
IMPROVE_ARTIFICER_GUILD				"Artificer Guild"
DESCRIPTION_IMPROVE_ARTIFICER_GUILD		""
IMPROVE_FIREBALL_SHIELD				"Fireball Shield"
DESCRIPTION_IMPROVE_FIREBALL_SHIELD		""
IMPROVE_BOTTOMLESS_WELL				"Bottomless Well"
DESCRIPTION_IMPROVE_BOTTOMLESS_WELL		""
IMPROVE_STAFF_OF_POWER				"Staff of Power"
DESCRIPTION_IMPROVE_STAFF_OF_POWER		""
IMPROVE_ALCHEMICAL_PLANT			"Alchemical Plant"
DESCRIPTION_IMPROVE_ALCHEMICAL_PLANT		""
IMPROVE_MINING_OF_HEL				"Mining of Hel"
DESCRIPTION_IMPROVE_MINING_OF_HEL		""
IMPROVE_TOLL_HOUSE				"Toll House"
DESCRIPTION_IMPROVE_TOLL_HOUSE			""
IMPROVE_CATACOMBS				"Catacombs"
DESCRIPTION_IMPROVE_CATACOMBS			""
IMPROVE_DRAGONS_TEETH				"Dragon's Teeth"
DESCRIPTION_IMPROVE_DRAGONS_TEETH		""
IMPROVE_MAGIC_RIVERS				"Magic Rivers"
DESCRIPTION_IMPROVE_MAGIC_RIVERS		""
IMPROVE_ALCHEMY_LABORATORY			"Alchemy Laboratory"
DESCRIPTION_IMPROVE_ALCHEMY_LABORATORY		""
IMPROVE_MAGIC_SHIELD				"Magic Shield"
DESCRIPTION_IMPROVE_MAGIC_SHIELD		""
IMPROVE_HARBOR_GUARDIAN				"Harbor Guardian"
DESCRIPTION_IMPROVE_HARBOR_GUARDIAN		""
IMPROVE_MAGICAL_GEMS				"Magical Gems"
DESCRIPTION_IMPROVE_MAGICAL_GEMS		""
IMPROVE_TEMPLE_OF_AEGIR				"Temple of Aegir"
DESCRIPTION_IMPROVE_TEMPLE_OF_AEGIR		""
IMPROVE_ASTRAL_PORTAL				"Astral Portal"
DESCRIPTION_IMPROVE_ASTRAL_PORTAL		""
IMPROVE_GUARDHOUSE				"Guardhouse"
DESCRIPTION_IMPROVE_GUARDHOUSE			""
IMPROVE_SEA_FORTRESS				"Sea Fortress"
DESCRIPTION_IMPROVE_SEA_FORTRESS		""
IMPROVE_PALACE					"Palace"
DESCRIPTION_IMPROVE_PALACE			""
IMPROVE_BANK					"Bank"
DESCRIPTION_IMPROVE_BANK			""
IMPROVE_FACTORY					"Factory"
DESCRIPTION_IMPROVE_FACTORY			""
IMPROVE_SDI_DEFENSE				"SDI Defense"
DESCRIPTION_IMPROVE_SDI_DEFENSE			""
IMPROVE_RECYCLING_CENTER			"Recycling Center"
DESCRIPTION_IMPROVE_RECYCLING_CENTER		""
IMPROVE_POWER_PLANT				"Power Plant"
DESCRIPTION_IMPROVE_POWER_PLANT			""
IMPROVE_HYDRO_PLANT				"Hydro Plant"
DESCRIPTION_IMPROVE_HYDRO_PLANT			""
IMPROVE_STOCK_EXCHANGE				"Stock Exchange"
DESCRIPTION_IMPROVE_STOCK_EXCHANGE		""
IMPROVE_SEWER_SYSTEM				"Sewer System"
DESCRIPTION_IMPROVE_SEWER_SYSTEM		""
IMPROVE_SUPERHIGHWAYS				"Superhighways"
DESCRIPTION_IMPROVE_SUPERHIGHWAYS		""
IMPROVE_RESEARCH_LAB				"Research Lab"
DESCRIPTION_IMPROVE_RESEARCH_LAB		""
IMPROVE_SOLAR_PLANT				"Solar Plant"
DESCRIPTION_IMPROVE_SOLAR_PLANT			""
IMPROVE_OFFSHORE_PLATFORM			"Offshore Platform"
DESCRIPTION_IMPROVE_OFFSHORE_PLATFORM		""
IMPROVE_AIRPORT					"Airport"
DESCRIPTION_IMPROVE_AIRPORT			""
IMPROVE_ACADEMY					"Academy"
DESCRIPTION_IMPROVE_ACADEMY			""
IMPROVE_AGORA					"Agora"
DESCRIPTION_IMPROVE_AGORA			""
IMPROVE_APOTHECARY				"Apothecary"
DESCRIPTION_IMPROVE_APOTHECARY			""
IMPROVE_BALLISTA_TOWERS				"Ballista Towers"
DESCRIPTION_IMPROVE_BALLISTA_TOWERS		""
IMPROVE_BASILICA				"Basilica"
DESCRIPTION_IMPROVE_BASILICA			""
IMPROVE_BATH_HOUSE				"Bath House"
DESCRIPTION_IMPROVE_BATH_HOUSE			""
IMPROVE_BATTLEMENTS				"Battlements"
DESCRIPTION_IMPROVE_BATTLEMENTS			""
IMPROVE_CAPITOL					"Capitol"
DESCRIPTION_IMPROVE_CAPITOL			""
IMPROVE_CITY_CLOCK				"City Clock"
DESCRIPTION_IMPROVE_CITY_CLOCK			""
IMPROVE_CITY_WALL				"City Wall"
DESCRIPTION_IMPROVE_CITY_WALL			""
IMPROVE_CONSCRIPTED_LABOR			"Conscripted Labor"
DESCRIPTION_IMPROVE_CONSCRIPTED_LABOR		""
IMPROVE_CORRECTIONAL_FACILITY			"Correctional Facility"
DESCRIPTION_IMPROVE_CORRECTIONAL_FACILITY	""
IMPROVE_CRAFT_GUILD				"Craft Guild"
DESCRIPTION_IMPROVE_CRAFT_GUILD			""
IMPROVE_DYNASTIC_HOUSE				"Dynastic House"
DESCRIPTION_IMPROVE_DYNASTIC_HOUSE		""
IMPROVE_FOOD_IMPORTS				"Food Imports"
DESCRIPTION_IMPROVE_FOOD_IMPORTS		""
IMPROVE_FORGE					"Forge"
DESCRIPTION_IMPROVE_FORGE			""
IMPROVE_FORUM					"Forum"
DESCRIPTION_IMPROVE_FORUM			""
IMPROVE_ARCH					"Arch"
DESCRIPTION_IMPROVE_ARCH			""
IMPROVE_HOSPITAL				"Hospital"
